Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Ancient Studies,Low 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00",English at 60%Minimum admission range of low 70s.,Yes,N/A,N/A
Anthropology,Low 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00",English at 60%Minimum admission range of low 70s.,Yes,N/A,N/A
Applied Water science,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
English at 60%.
Advanced Functions, Biology and Chemistry each at 70%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Archaeology and Heritage Studies,Low 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00",English at 60%Minimum admission range of low 70s.,Yes,N/A,N/A
"BA + Master's in English, History or Political Science",Low 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 80s
4U English at 75%.",No,N/A,N/A
Biochemistry and Biotechnology,Mid 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
Biology, and Advanced Functions each at 60%.
Chemistry at 70%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Biology,Mid 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range in mid 70s.
English, Chemistry and Advanced Functions at 60%.
Biology at 70%. Biology and Mathematics also requires Calculus and Vectors at 60%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Business Administration,High 80s,"0.50 or equivalent
$969.74","0.50 or equivalent
$2,886.00","Minimum admission range of high 80s.
Advanced Functions at 70%.
English at 70%.
One of Calculus & Vectors or Data Management at 60%.
All prerequisite courses calculated in admissions average.",Yes,N/A,N/A
"Business Administration (BBA) and Computer Science (BSc) Double Degree
",Mid 90s,"0.50 or equivalent
$969.74","0.50 or equivalent
$2,886.00","Minimum admission range of low 90s.
English at 70%.
Advanced Functions at 75%.
Calculus and Vectors at 75%.
All prerequisite courses calculated in admissions average.",Yes,N/A,N/A
Business Administration (BBA) (Laurier) and Computer Science (BCS),Low 90s,"0.50 or equivalent
$969.74","0.50 or equivalent
$2,886.00","Minimum admission range of mid 90s. 
English at 80%.
Advanced Functions at 90%.
Calculus & Vectors at 90%.
All prerequisite courses calculated in admissions average.",Yes,N/A,N/A
Business Administration (BBA) and Financial Mathematics (BA),Low 90s,"0.50 or equivalent
$969.74","0.50 or equivalent
$2,886.00","Minimum admission range of low 90s.
English at 70%.
Advanced Functions, and Calculus & Vectors at 80%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Business Administration (BBA) (Laurier) and Math (BMath),Mid 90s,"0.50 or equivalent
$969.74","0.50 or equivalent
$2,886.00","Minimum admission range of low 90s.
English at 80%.
Advanced Functions, and Calculus & Vectors at 85%.
All prerequisite courses calculated in admissions average.
A combined minimum average of 90% is required in the prerequisite 4U Mathematics courses.
",Yes,N/A,N/A
Business Technology Management,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of high 70s.
English at 70%.
Either: Advanced Functions or Calculus & Vectors at 70%.",Yes,N/A,N/A
Chemistry,Mid 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
Advanced Functions and English each at 60%.
Chemistry at 70%.
Chemistry and Mathematics requires Calculus and Vectors at 70%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Chemistry and Physics,Mid 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
Competitive admission range of high 80s.
English at 60%.
Chemistry, Advanced Functions, and Calculus & Vectors at 75%.
All required courses calculated in admission average, including English ",Yes,N/A,N/A
Christian Studies and Global Citizenship,Low 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 70s.
English at 60%.",No,N/A,N/A
Communication Studies,Low 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 70s.
English at 60%.",Yes,N/A,N/A
Community Health,Low 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 70s.
English at 60%.",No,N/A,N/A
Community Mush,Mid 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 75s.
English at 60%.",No,N/A,"Successful audition.
Interview with a faculty member.
Theory and ear training test (equivalent to Royal Conservatory of Music Advanced Rudiments).
Aural skills assessment.
Optional portfolio of compositions."
Computer Science,Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of high 70s.
Advanced Functions at 60%.
One of Calculus & Vectors, Chemistry or Physics at 60%.
Computer Science and Mathematics requires English, Advanced Functions, and Calculus & Vectors at 60%, and one of Biology, Chemistry, or Physics at 60%.
Computer Science and Psychology requires English and Advanced Functions at 60%, and one of Calculus & Vectors, Chemistry, Physics, or Biology at 60%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Computer Science (BA in Combination),Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of high 70s.
Advanced Functions at 60%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Computer Science and Physics,Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of high 70s.
English at 60%.
Advanced Functions at 60%.
One of Calculus & Vectors, Chemistry or Physics at 60%.
All required courses calculated in admission range, including English ",No,N/A,N/A
Criminology,High 70s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 70s.
English at 60%.",No,N/A,N/A
Cultural Studies (BA in combination),Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 70s.
English at 60%.",Yes,N/A,N/A
Data Science,High 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 80s.
English at 70%.
Advanced Functions at 80%.
Calculus & Vectors at 80%.
All required courses calculated in admission average, including English. ",Yes,N/A,N/A
Digital Media and Journalism,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 70s.
English at 75%.",No,N/A,N/A
